Song,Country,id,Artist,Year,Language,Points,Rank
En gång i Stockholm,Sweden,,Monica Zetterlund,1963,Swedish,0,13
Waarom?,Belgium,,Jacques Raymond,1963,Dutch,4,10
L'amour s'en va,Monaco,4zkPLZl3qU66dfO0SMDUEX,Françoise Hardy,1963,French,25,5
À force de prier,Luxembourg,64bELLIV0KAN27wP7hPBSF,Nana Mouskouri,1963,French,13,8
Dès que le printemps revient,Luxembourg,0LPXnHXAqvQb87ev9kg4YM,Hugues Aufray,1964,French,14,4
Jij bent mijn leven,Netherlands,,Anneke Grönloh,1964,Dutch,2,10
Spiral,Norway,1g65SWNmTGmSkOMgHB9hGD,Arne Bendiksen,1964,Norwegian,6,8
Sangen om dig,Denmark,6lCkVHbcAtUgkB96mF3zl3,Bjørn Tidmand,1964,Danish,4,9
Laiskotellen,Finland,7Mbx5x3V8NNFloKUlPyFVv,Lasse Mårtenson,1964,Finnish,9,7
"Warum nur, warum?",Austria,62VgTbntUM3wYkn0wzJTkP,Udo Jürgens,1964,German,11,6
Le chant de Mallory,France,,Rachel,1964,French,14,4
I Love the Little Things,United Kingdom,,Matt Monro,1964,English,17,2
Man gewöhnt sich so schnell an das Schöne,Germany,,Nora Nova,1964,German,0,13
Où sont-elles passées,Monaco,,Romuald,1964,French,15,3
Oração,Portugal,5jtAiAnbq7VYoGOuEyD6ZM,António Calvário,1964,Portuguese,0,13
Non ho l'età,Italy,65715T2yQVD0uPDRcrODGk,Gigliola Cinquetti,1964,Italian,49,1
Život je sklopio krug,Yugoslavia,,Sabahudin Kurt,1964,Bosnian,0,13
I miei pensieri,Switzerland,,Anita Traversi,1964,Italian,0,13
Près de ma rivière,Belgium,,Robert Cogoi,1964,French,2,10
Caracola,Spain,,Los TNT,1964,Spanish,1,12
't Is genoeg,Netherlands,,Conny van den Bos,1965,Dutch,5,11
I Belong,United Kingdom,,Kathy Kirby,1965,English,26,2
"¡Qué bueno, qué bueno!",Spain,0rwqdxTgYg5SfbWtMNj6wZ,Conchita Bautista,1965,Spanish,0,15
Walking the Streets in the Rain,Ireland,5EkZqJSOOKccA8mNZ2tD4w,Butch Moore,1965,English,11,6
"Paradies, wo bist du?",Germany,,Ulla Wiesner,1965,German,0,15
"Sag ihr, ich lass sie grüßen",Austria,3MngLAYlUdqpGxkUe6BrEe,Udo Jürgens,1965,German,16,4
Karusell,Norway,20XUJu6LqjZsDBpmOmC7fY,Kirsti Sparboe,1965,Norwegian,1,13
Als het weer lente is,Belgium,,Lize Marke,1965,Dutch,0,15
Va dire à l'amour,Monaco,,Marjorie Noël,1965,French,7,9
Absent Friend,Sweden,,Ingvar Wixell,1965,English,6,10
N'avoue jamais,France,1vPCbI7QPZtU6T42uaeP8w,Guy Mardel,1965,French,22,3
Sol de inverno,Portugal,6EliXar0nNAghkYEIyd6bh,Simone de Oliveira,1965,Portuguese,1,13
"Se piangi, se ridi",Italy,,Bobby Solo,1965,Italian,15,5
For din skyld,Denmark,,Birgit Brüel,1965,Danish,10,7
"Poupée de cire, poupée de son",Luxembourg,60SHikfyGM9F4smuQ2iIye,France Gall,1965,French,32,1
Aurinko laskee länteen,Finland,5XOlicvifsYZXaMuJJBv7Q,Viktor Klimenko,1965,Finnish,0,15
Čežnja,Yugoslavia,7pzZPTU77yAAATgdSBd5SB,Vice Vukov,1965,Croatian,2,12
"Non, à jamais sans toi",Switzerland,2eklJtgkMIjgqLZwaouyq1,Yovanna,1965,French,8,8
Die Zeiger der Uhr,Germany,,Margot Eskens,1966,German,7,10
Stop – mens legen er go',Denmark,6WVfVG7qkYO8rWxFB4mBSA,Ulla Pia,1966,Danish,4,14
"Un peu de poivre, un peu de sel",Belgium,,Tonia,1966,French,14,4
Ce soir je t'attendais,Luxembourg,,Michèle Torr,1966,French,7,10
Brez besed,Yugoslavia,3OZqPWY86jhuv6DV5TV0kK,Berta Ambrož,1966,Slovene,9,7
Intet er nytt under solen,Norway,,Åse Kleveland,1966,Norwegian,15,3
Playboy,Finland,3ZAzLeubF8B7AODnehQ7zr,Ann Christine,1966,Finnish,7,10
Ele e ela,Portugal,,Madalena Iglésias,1966,Portuguese,6,13
"Merci, Chérie",Austria,1KHSnWFJ5a988kM1Kz2daX,Udo Jürgens,1966,German1,31,1
Nygammal vals,Sweden,,Lill Lindfors & Svante Thuresson,1966,Swedish,16,2
Yo soy aquél,Spain,6b3ub116kE1T15h1yzaiTy,Raphael,1966,Spanish,9,7
Ne vois-tu pas?,Switzerland,,Madeleine Pascal,1966,French,12,6
Bien plus fort,Monaco,,Téréza,1966,French,0,17
"Dio, come ti amo",Italy,0diGNl2yCkd8NQKX0AzDkt,Domenico Modugno,1966,Italian,0,17
Chez nous,France,,Dominique Walter,1966,French,1,16
Fernando en Filippo,Netherlands,3AmVKvtAS3OImFeqvVGuyB,Milly Scott,1966,Dutch,2,15
Come Back to Stay,Ireland,1KC4JdbHXoeQ8QcNvn20fj,Dickie Rock,1966,English,14,4
A Man Without Love,United Kingdom,,Kenneth McKellar,1966,English,8,9
Ring-dinge-ding,Netherlands,,Thérèse Steinmetz,1967,Dutch,2,14
L'amour est bleu,Luxembourg,,Vicky Leandros,1967,French,17,4
Warum es hunderttausend Sterne gibt,Austria,,Peter Horton,1967,German,2,14
Il doit faire beau là-bas,France,,Noëlle Cordier,1967,French,20,3
O vento mudou,Portugal,,Eduardo Nascimento,1967,Portuguese,3,12
Quel cœur vas-tu briser?,Switzerland,,Géraldine,1967,French,0,17
Som en dröm,Sweden,,Östen Warnerbring,1967,Swedish,7,8
Varjoon – suojaan,Finland,1lks6l4gJKtNZHpDd6rDB4,Fredi,1967,Finnish,3,12
Anouschka,Germany,,Inge Brück,1967,German,7,8
Ik heb zorgen,Belgium,,Louis Neefs,1967,Dutch,8,7
Puppet on a String,United Kingdom,,Sandie Shaw,1967,English,47,1
Hablemos del amor,Spain,1uG9IM78KZTIEBzcWEd2E8,Raphael,1967,Spanish,9,6
Dukkemann,Norway,6U2birUTzSLbWAf5vL4EpG,Kirsti Sparboe,1967,Norwegian,2,14
Boum-Badaboum,Monaco,,Minouche Barelli,1967,French,10,5
Vse rože sveta,Yugoslavia,5T9gnM2nUHKTwu4PFNdB2n,Lado Leskovar,1967,Slovene,7,8
Non andare più lontano,Italy,,Claudio Villa,1967,Italian,4,11
If I Could Choose,Ireland,6csPs5g5gUraKCMlf8y9LB,Sean Dunphy,1967,English,22,2
Verão,Portugal,,Carlos Mendes,1968,Portuguese,5,11
Morgen,Netherlands,6NqsonGA4xWZ1PxiLeEG2S,Ronnie Tober,1968,Dutch,1,16
Quand tu reviendras,Belgium,,Claude Lombard,1968,French,8,7
Tausend Fenster,Austria,3kYxWCJKXq45u9hg6DtVlH,Karel Gott,1968,German,2,13
Nous vivrons d'amour,Luxembourg,,Chris Baldo & Sophie Garel,1968,French,5,11
Guardando il sole,Switzerland,,Gianni Mascolo,1968,Italian,2,13
À chacun sa chanson,Monaco,,Line & Willy,1968,French,8,7
"Det börjar verka kärlek, banne mej",Sweden,1qnzSLvl5qWPIgpaRnLGxl,Claes-Göran Hederström,1968,Swedish,15,5
Kun kello käy,Finland,3SmWcVeUWgambmn321IXac,Kristina Hautala,1968,Finnish,1,16
La source,France,0kTttA8getB88L8OJJINHa,Isabelle Aubret,1968,French,20,3
Marianne,Italy,0DmzqpZTonpkjszFAIQCiN,Sergio Endrigo,1968,Italian,7,10
Congratulations,United Kingdom,0el6dTZghGrzcBMbdhXALO,Cliff Richard,1968,English,28,2
Stress,Norway,4ReH9EkiNLuWQl2PwljTIx,Odd Børre,1968,Norwegian,2,13
Chance of a Lifetime,Ireland,,Pat McGuigan,1968,English,18,4
"La, la, la",Spain,1ApXNkjfjxkSDoezO8Kh8g,Massiel,1968,Spanish,29,1
Ein Hoch der Liebe,Germany,,Wenche Myhre,1968,German,11,6
Jedan dan,Yugoslavia,164cluZZgI6a0uwbgDjelY,Dubrovački trubaduri,1968,Croatian,8,7
Pozdrav svijetu,Yugoslavia,,Ivan & 4M,1969,Croatian,5,13
Catherine,Luxembourg,,Romuald,1969,French,7,11
Vivo cantando,Spain,059G9tpE3kl6wz3kiddaN0,Salomé,1969,Spanish,18,1
"Maman, Maman",Monaco,,Jean Jacques,1969,French,11,6
The Wages of Love,Ireland,,Muriel Day & The Lindsays,1969,English,10,7
Due grosse lacrime bianche,Italy,,Iva Zanicchi,1969,Italian,5,13
Boom Bang-a-Bang,United Kingdom,2grqeM6FaeDGmH1MUiW3kf,Lulu,1969,English,18,1
De troubadour,Netherlands,2ult3HJ9JaycnUd4ys0fIh,Lenny Kuhr,1969,Dutch,18,1
"Judy, min vän",Sweden,,Tommy Körberg,1969,Swedish,8,9
Jennifer Jennings,Belgium,,Louis Neefs,1969,Dutch,10,7
"Bonjour, Bonjour",Switzerland,,Paola Del Medico,1969,German,13,5
"Oj, oj, oj, så glad jeg skal bli",Norway,0eJQO8qpqnsqlXOAx9lK9q,Kirsti Sparboe,1969,Norwegian,1,16
Primaballerina,Germany,0bNIyEAnNOduJaLmBIeP0V,Siw Malmkvist,1969,German,8,9
"Un jour, un enfant",France,4IqC3WWUMMbLZYWzvsMMsC,Frida Boccara,1969,French,18,1
Desfolhada portuguesa,Portugal,0hk80kkwoIHqzhthFEhzag,Simone de Oliveira,1969,Portuguese,4,15
Kuin silloin ennen,Finland,,Jarkko & Laura,1969,Finnish,6,12
Waterman,Netherlands,,Hearts of Soul,1970,Dutch,7,7
Retour,Switzerland,,Henri Dès,1970,French,8,4
Occhi di ragazza,Italy,5U8kiKn0yGDttwymtUy5LB,Gianni Morandi,1970,Italian,5,8
"Pridi, dala ti bom cvet",Yugoslavia,7a2a4ugMfOrJW5XUAFtzmD,Eva Sršen,1970,Slovene,4,11
Viens l'oublier,Belgium,,Jean Vallée,1970,French,5,8
Marie-Blanche,France,,Guy Bonnet,1970,French,8,4
"Knock, Knock Who's There?",United Kingdom,,Mary Hopkin,1970,English,26,2
Je suis tombé du ciel,Luxembourg,,David Alexandre Winter,1970,French,0,12
Gwendolyne,Spain,7B4uAyj4X3qs8YXdV4wwhS,Julio Iglesias,1970,Spanish,8,4
Marlène,Monaco,,Dominique Dussault,1970,French,5,8
Wunder gibt es immer wieder,Germany,,Katja Ebstein,1970,German,12,3
All Kinds of Everything,Ireland,3SJPRPwpF0MTFKPrshBeKM,Dana,1970,English,32,1
Musik,Austria,,Marianne Mendt,1971,Viennese,66,16
Marija l-Maltija,Malta,3vO7n5l3c0Wa1ycc7DIgtT,Joe Grech,1971,Maltese,52,18
"Un banc, un arbre, une rue",Monaco,15mVQWoiwjwXrs5LBybM0A,Séverine,1971,French,128,1
Les illusions de nos vingt ans,Switzerland,,"Peter, Sue and Marc",1971,French,78,12
Diese Welt,Germany,,Katja Ebstein,1971,German,100,3
En un mundo nuevo,Spain,06rXvlSJzkIYECQTceHZag,Karina,1971,Spanish,116,2
Un jardin sur la terre,France,,Serge Lama,1971,French,82,10
"Pomme, pomme, pomme",Luxembourg,,Monique Melsen,1971,French,70,13
Jack In The Box,United Kingdom,,Clodagh Rodgers,1971,English,98,4
"Goeiemorgen, morgen",Belgium,,Lily Castel & Jacques Raymond,1971,Dutch,68,14
L'amore è un attimo,Italy,1YfqKyhFhQMsJnnOAJ08oS,Massimo Ranieri,1971,Italian,91,5
Vita vidder,Sweden,42a19UrSosfbz6goMbqsch,Family Four,1971,Swedish,85,6
One Day Love,Ireland,,Angela Farrell,1971,English,79,11
Tijd,Netherlands,,Saskia & Serge,1971,Dutch,85,6
Menina do alto da serra,Portugal,,Tonicha,1971,Portuguese,83,9
Tvoj dječak je tužan,Yugoslavia,,Krunoslav Slabinac,1971,Croatian,68,14
Tie uuteen päivään,Finland,,Markku Aro & Koivistolaiset,1971,Finnish,84,8
Lykken er,Norway,4WSKAhnINIHW5TCS9hdxZd,Hanne Krogh,1971,Norwegian,65,17
Nur die Liebe läßt uns leben,Germany,3g2JgkeNR1csWkiYxMjnDs,Mary Roos,1972,German,107,3
Comé-comédie,France,0muoMzCAxmXvji3PYzgEIb,Betty Mars,1972,French,81,11
Ceol an Ghrá,Ireland,,Sandie Jones,1972,Irish,72,15
Amanece,Spain,1F2jjX4W3mLOMwhBQXZFic,Jaime Morey,1972,Spanish,83,10
"Beg, Steal or Borrow",United Kingdom,3goNGcLC3U3QCiq50RvRLO,The New Seekers,1972,English,114,2
Småting,Norway,,Grethe Kausland & Benny Borg,1972,Norwegian,73,14
A festa da vida,Portugal,,Carlos Mendes,1972,Portuguese,90,7
C'est la chanson de mon amour,Switzerland,,Véronique Müller,1972,French,88,8
L-imħabba,Malta,,Helen and Joseph,1972,Maltese,48,18
Muistathan,Finland,,Päivi Paunu & Kim Floor,1972,Finnish,78,12
Falter im Wind,Austria,,Milestones,1972,German,100,5
I giorni dell'arcobaleno,Italy,5ICnQ0JqmUssyqWGwXT90N,Nicola di Bari,1972,Italian,92,6
Muzika i ti,Yugoslavia,7uCmv97f8KUrWPbAyMJ0Yb,Tereza Kesovija,1972,Serbo-Croatian,87,9
Härliga sommardag,Sweden,2xP527eRRBFYqxiHL6DZk1,Family Four,1972,Swedish,75,13
Comme on s'aime,Monaco,,Anne-Marie Godart & Peter MacLane,1972,French,65,16
À la folie ou pas du tout,Belgium,,Serge & Christine Ghisoland,1972,French,55,17
Après toi,Luxembourg,5Qhnqd15fOFzVhidzeveRY,Vicky Leandros,1972,French,128,1
Als het om de liefde gaat,Netherlands,,Sandra & Andres,1972,Dutch,106,4
Tom Tom Tom,Finland,,Marion Rung,1973,English,93,6
"Baby, Baby",Belgium,,Nicole & Hugo,1973,Dutch1,58,17
Tourada,Portugal,,Fernando Tordo,1973,Portuguese,80,10
Junger Tag,Germany,,Gitte,1973,German,85,8
It's Just A Game,Norway,,Bendik Singers,1973,"English, French2",89,7
Un train qui part,Monaco,,Marie,1973,French,85,8
Eres tú,Spain,7bA0d6jzxTTWIBE8o7n41k,Mocedades,1973,Spanish,125,2
"Je vais me marier, Marie",Switzerland,70OG3OXk3bODnGvTR8CBru,Patrick Juvet,1973,French,79,12
Gori vatra,Yugoslavia,2lL4VAuexiuvDvTMgSqa6O,Zdravko Čolić,1973,Serbo-Croatian,65,15
Chi sarà con te,Italy,5yyEIHirG13Ya2rcBvIpC5,Massimo Ranieri,1973,Italian,74,13
Tu te reconnaîtras,Luxembourg,0PBce2YBQzmFuxwUAIoD2E,Anne-Marie David,1973,French,129,1
You're Summer,Sweden,,Nova & The Dolls,1973,English,94,5
De oude muzikant,Netherlands,2pjsvouzuDSSNIReXHBfjV,Ben Cramer,1973,Dutch,69,14
Do I Dream,Ireland,,Maxi,1973,English,80,10
Power to All Our Friends,United Kingdom,56sTyNDcwz9qjuOnf0VAfG,Cliff Richard,1973,English,123,3
Sans toi,France,,Martine Clémenceau,1973,French,65,15
Ey Sham (אי שם),Israel,,Ilanit,1973,Hebrew,97,4
Keep Me Warm,Finland,,Carita,1974,English,4,13
Long Live Love,United Kingdom,,Olivia Newton-John,1974,English,14,4
Canta y sé feliz,Spain,4xuQ7KieQmHXiYdh965WQR,Peret,1974,Spanish,10,9
The First Day of Love,Norway,,Anne-Karine Strøm feat. Bendik Singers,1974,English,3,14
"Krasi, thalassa ke t' agori mou
(Κρασί, θάλασσα και τ' αγόρι μου)",Greece,,Marinella,1974,Greek,7,11
Natati La Khayay (נתתי לה חיי),Israel,,Kaveret,1974,Hebrew,11,7
Generacija '42 (Генерација '42),Yugoslavia,,Korni Grupa,1974,Serbian,6,12
Waterloo,Sweden,0RzhMHIsFMbOGh0oWDvNNK,ABBA,1974,English,24,1
Bye Bye I Love You,Luxembourg,,Ireen Sheer,1974,Frencha,14,4
Celui qui reste et celui qui s'en va,Monaco,,Romuald,1974,French,14,4
Fleur de liberté,Belgium,,Jacques Hustin,1974,French,10,9
I See a Star,Netherlands,3SmDP7wT0J7NTHtzB896PD,Mouth & MacNeal,1974,English,15,3
Cross Your Heart,Ireland,,Tina Reynolds,1974,English,11,7
Die Sommermelodie,Germany,,Cindy & Bert,1974,German,3,14
Mein Ruf nach dir,Switzerland,,Piera Martell,1974,German,3,14
E depois do adeus,Portugal,6ThJAONKSkyQxnfLmmtpIh,Paulo de Carvalho,1974,Portuguese,3,14
Sì,Italy,0o5DskTKoFx1Pxu5A1HZCO,Gigliola Cinquetti,1974,Italian,18,2
Ding-a-dong,Netherlands,,Teach-In,1975,English,152,1
That's What Friends Are For,Ireland,,The Swarbriggs,1975,English,68,9
Et bonjour à toi l'artiste,France,5eGnVU7C3mRbXMergmSz9Q,Nicole Rieu,1975,French,91,4
Ein Lied kann eine Brücke sein,Germany,,Joy Fleming,1975,"German, English",15,17
Toi,Luxembourg,,Geraldine,1975,French,84,5
Touch My Life (With Summer),Norway,,Ellen Nikolaysen,1975,English,11,18
Mikado,Switzerland,,Simone Drexel,1975,German,77,6
Dan ljubezni,Yugoslavia,2wfkkb00LklyYNv4v3PcVA,Pepel in kri,1975,Slovene,22,13
Let Me Be The One,United Kingdom,6gZvvkOUTl33NDsbi3lzKr,The Shadows,1975,English,138,2
Singing This Song,Malta,,Renato,1975,English,32,12
Gelukkig zijn,Belgium,,Ann Christy,1975,"Dutch, English",17,15
At Va'Ani (את ואני),Israel,,Shlomo Artzi,1975,Hebrew,40,11
Seninle Bir Dakika,Turkey,371nNwFetX7GVB7Po7Z1nu,Semiha Yankı,1975,Turkish,3,19
Une chanson c'est une lettre,Monaco,,Sophie,1975,French,22,13
Old Man Fiddle,Finland,,Pihasoittajat,1975,English,74,7
Madrugada,Portugal,,Duarte Mendes,1975,Portuguese,16,16
Tú volverás,Spain,,Sergio & Estíbaliz,1975,Spanish,53,10
"Jennie, Jennie",Sweden,,Lasse Berghagen,1975,English,72,8
Era,Italy,,Wess & Dori Ghezzi,1975,Italian,115,3
Save Your Kisses for Me,United Kingdom,0E19RAvUkhjMM0rdICkidE,Brotherhood of Man,1976,English,164,1
"Djambo, Djambo",Switzerland,,"Peter, Sue and Marc",1976,English,91,4
Sing Sang Song,Germany,,Les Humphries Singers,1976,German,12,15
Emor Shalom (אמור שלום),Israel,,"Chocolate, Menta, Mastik",1976,Hebrew,77,6
Chansons pour ceux qui s'aiment,Luxembourg,,Jürgen Marcus,1976,French,17,14
Judy et Cie,Belgium,13XrVZFql5uxT4o4OH3MV4,Pierre Rapsat,1976,French,68,8
When,Ireland,64hOFuQDpsp9kWchFpOAmi,Red Hurley,1976,English,54,10
The Party's Over,Netherlands,,Sandra Reemer,1976,English,56,9
Mata Hari,Norway,,Anne-Karine Strøm,1976,English,7,18
"Panagia mou, Panagia mou
(Παναγιά μου, Παναγιά μου)",Greece,,Mariza Koch,1976,Greek,20,13
Pump-Pump,Finland,,Fredi & Ystävät,1976,English,44,11
Sobran las palabras,Spain,1QOgYW9oq5r6evWA2A4s6a,Braulio,1976,Spanish,11,16
We'll Live It All Again,Italy,,Al Bano & Romina Power,1976,"English, Italian",69,7
My Little World,Austria,,Waterloo & Robinson,1976,English,80,5
Uma flor de verde pinho,Portugal,,Carlos do Carmo,1976,Portuguese,24,12
"Toi, la musique et moi",Monaco,,Mary Christy,1976,French,93,3
"Un, deux, trois",France,,Catherine Ferry,1976,French,147,2
Ne mogu skriti svoju bol,Yugoslavia,,Ambasadori,1976,Bosnian,10,17
