Artist,Rank,Song,Year,Country,Points,Language
Jean-Claude Pascal,11,C'est peut-être pas l'Amérique,1981,Luxembourg,41,French
Hakol Over Habibi,7,Halayla (הלילה),1981,Israel,56,Hebrew
Tommy Seebach & Debbie Cameron,11,Krøller eller ej,1981,Denmark,41,Danish
"Seid Memić ""Vajta""",15,Lejla,1981,Yugoslavia,35,Bosnian
Riki Sorsa,16,Reggae OK,1981,Finland,27,Finnish
Jean Gabilou,3,Humanahum,1981,France,125,French
Bacchelli,14,Y sólo tú,1981,Spain,38,Spanish
Linda Williams,9,Het is een wonder,1981,Netherlands,51,Dutch
Sheeba,5,Horoscopes,1981,Ireland,105,English
Finn Kalvik,20,Aldri i livet,1981,Norway,0,Norwegian
Bucks Fizz,1,Making Your Mind Up,1981,United Kingdom,136,English
Carlos Paião,18,Playback,1981,Portugal,9,Portuguese
Emly Starr,13,Samson,1981,Belgium,40,Dutch
Yiannis Dimitras,8,Feggari kalokerino (Φεγγάρι καλοκαιρινό),1981,Greece,55,Greek
Island,6,Monika (Μόνικα),1981,Cyprus,69,Greek
"Peter, Sue and Marc",4,Io senza te,1981,Switzerland,121,Italian
Björn Skifs,10,Fångad i en dröm,1981,Sweden,50,Swedish
Doce,13,Bem bom,1982,Portugal,32,Portuguese
Svetlana,6,Cours après le temps,1982,Luxembourg,78,French
Jahn Teigen & Anita Skorgan,12,Adieu,1982,Norway,40,Norwegian
Bardo,7,One Step Further,1982,United Kingdom,76,English
Neco,15,Hani?,1982,Turkey,20,Turkish
Kojo,18,Nuku pommiin,1982,Finland,0,Finnish
Arlette Zola,3,Amour on t'aime,1982,Switzerland,97,French
Anna Vissi,5,Mono i agapi (Μόνο η αγάπη),1982,Cyprus,85,Greek
Chips,8,Dag efter dag,1982,Sweden,67,Swedish
Mess,9,Sonntag,1982,Austria,57,German
Stella,4,Si tu aimes ma musique,1982,Belgium,96,French
Lucía,10,Él,1982,Spain,52,Spanish
Brixx,17,"Video, Video",1982,Denmark,5,Danish
Aska,14,"Halo, halo (Хало, хало)",1982,Yugoslavia,21,Serbian
Avi Toledano,2,Hora (הורה),1982,Israel,100,Hebrew
Bill van Dijk,16,Jij en ik,1982,Netherlands,8,Dutch
The Duskeys,11,Here Today Gone Tomorrow,1982,Ireland,49,English
Nicole,1,Ein Bißchen Frieden,1982,Germany,161,German
Guy Bonnet,8,Vivre,1983,France,56,French
Jahn Teigen,9,Do Re Mi,1983,Norway,53,Norwegian
Sweet Dreams,6,I'm Never Giving Up,1983,United Kingdom,79,English
Carola Häggkvist,3,Främling,1983,Sweden,126,Swedish
Riccardo Fogli,11,Per Lucia,1983,Italy,41,Italian
Çetin Alp & the Short Waves,19,Opera,1983,Turkey,0,Turkish
Remedios Amaya,19,¿Quién maneja mi barca?,1983,Spain,0,Spanish
Mariella Farré,15,Io così non ci sto,1983,Switzerland,28,Italian
Ami Aspelund,11,Fantasiaa,1983,Finland,41,Finnish
Christie Stasinopoulou,14,Mou les (Μου λες),1983,Greece,32,Greek
Bernadette,7,Sing Me a Song,1983,Netherlands,66,Dutch
Daniel,4,Džuli,1983,Yugoslavia,125,Serbo-Croatian
Stavros & Constantina,16,I agapi akoma zi (Η αγάπη ακόμα ζει),1983,Cyprus,26,Greek
Hoffmann & Hoffmann,5,Rücksicht,1983,Germany,94,German
Gry Johansen,17,Kloden drejer,1983,Denmark,16,Danish
Ofra Haza,2,Hi (חי),1983,Israel,136,Hebrew
Armando Gama,13,Esta balada que te dou,1983,Portugal,33,Portuguese
Westend,9,Hurricane,1983,Austria,53,German
Pas de Deux,18,Rendez-vous,1983,Belgium,13,Dutch
Corinne Hermès,1,Si la vie est cadeau,1983,Luxembourg,142,French
Herreys,1,Diggi-Loo Diggi-Ley,1984,Sweden,145,Swedish
Sophie Carle,10,100% d'amour,1984,Luxembourg,39,French
Annick Thoumazeau,8,Autant d'amoureux que d'étoiles,1984,France,61,French
Bravo,3,"Lady, Lady",1984,Spain,106,Spanish1
Dollie de Luxe,17,Lenge leve livet,1984,Norway,29,Norwegian
Belle and the Devotions,7,Love Games,1984,United Kingdom,63,English
Andy Paul,15,Anna Maria Lena (Άννα Μαρία Λένα),1984,Cyprus,31,Greek
Jacques Zegers,5,Avanti la vie,1984,Belgium,70,French2
Linda Martin,2,Terminal 3,1984,Ireland,137,English
Hot Eyes,4,Det' lige det,1984,Denmark,101,Danish
Maribelle,13,Ik hou van jou,1984,Netherlands,34,Dutch
Vlado & Isolda,18,"Ciao, amore",1984,Yugoslavia,26,Serbo-Croatian2
Anita,19,Einfach weg,1984,Austria,5,German
Mary Roos,13,Aufrecht geh'n,1984,Germany,34,German
"Beş Yıl Önce, On Yıl Sonra",12,Halay,1984,Turkey,37,Turkish
Kirka,9,Hengaillaan,1984,Finland,46,Finnish
Rainy Day,16,Welche Farbe hat der Sonnenschein?,1984,Switzerland,30,German
Alice & Franco Battiato,5,I treni di Tozeur,1984,Italy,70,Italian3
Maria Guinot,11,Silêncio e tanta gente,1984,Portugal,38,Portuguese
Maria Christian,6,Wait Until the Weekend Comes,1985,Ireland,91,English
Sonja Lumme,9,Eläköön elämä,1985,Finland,58,Finnish
Lia Vissi,16,To katalava arga (Το κατάλαβα αργά),1985,Cyprus,15,Greek
Hot Eyes,11,Sku' du spørg' fra no'en?,1985,Denmark,41,Danish
Paloma San Basilio,14,La fiesta terminó,1985,Spain,36,Spanish
Roger Bens,10,Femme dans ses rêves aussi,1985,France,56,French
MFÖ,14,Didai didai dai,1985,Turkey,36,Turkish
Linda Lepomme,19,Laat me nu gaan,1985,Belgium,7,Dutch
Adelaide,18,"Penso em ti, eu sei",1985,Portugal,9,Portuguese
Wind,2,Für alle,1985,Germany,105,German
Izhar Cohen,5,"Olé, Olé (עולה, עולה)",1985,Israel,93,Hebrew
Al Bano & Romina Power,7,Magic Oh Magic,1985,Italy,78,Italian
Bobbysocks!,1,La det swinge,1985,Norway,123,Norwegian
Vikki,4,Love Is…,1985,United Kingdom,100,English
Mariella Farré & Pino Gasparini,12,"Piano, piano",1985,Switzerland,39,German
Kikki Danielsson,3,Bra vibrationer,1985,Sweden,103,Swedish
Gary Lux,8,Kinder dieser Welt,1985,Austria,60,German
"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",13,"Children, Kinder, Enfants",1985,Luxembourg,37,French
Takis Biniaris,16,Miazoume (Μοιάζουμε),1985,Greece,15,Greek
Sherisse Laurence,3,L'amour de ma vie,1986,Luxembourg,117,French
Doris Dragović,11,Željo moja,1986,Yugoslavia,49,Croatian
Cocktail Chic,17,Européennes,1986,France,13,French
Ketil Stokkan,12,Romeo,1986,Norway,44,Norwegian
Ryder,7,Runner in the Night,1986,United Kingdom,72,English
ICY,16,Gleðibankinn,1986,Iceland,19,Icelandic
Frizzle Sizzle,13,Alles heeft ritme,1986,Netherlands,40,Dutch
Klips ve Onlar,9,Halley,1986,Turkey,53,Turkish
Cadillac,10,Valentino,1986,Spain,51,Spanish
Daniela Simmons,2,Pas pour moi,1986,Switzerland,140,French
Moti Giladi & Sarai Tzuriel,19,Yavo Yom (יבוא יום),1986,Israel,7,Hebrew
Luv Bug,4,You Can Count On Me,1986,Ireland,96,English
Sandra Kim,1,J'aime la vie,1986,Belgium,176,French
Ingrid Peters,8,Über die Brücke geh'n,1986,Germany,62,German
Elpida,20,Tora zo (Τώρα ζω),1986,Cyprus,4,Greek
Timna Brauer,18,Die Zeit ist einsam,1986,Austria,12,German
Lasse Holm & Monica Törnell,5,E' de' det här du kallar kärlek?,1986,Sweden,78,Swedish
Lise Haavik,6,Du er fuld af løgn,1986,Denmark,77,Danish
Kari Kuivalainen,15,Never the End,1986,Finland,22,Finnish
Dora,14,Não sejas mau para mim,1986,Portugal,28,Portuguese
Kate Gulbrandsen,9,Mitt liv,1987,Norway,65,Norwegian
Lazy Bums,8,Shir Habatlanim (שיר הבטלנים),1987,Israel,73,Hebrew
Gary Lux,20,Nur noch Gefühl,1987,Austria,8,German
Halla Margrét,16,Hægt og hljótt,1987,Iceland,28,Icelandic
Liliane Saint-Pierre,11,Soldiers of Love,1987,Belgium,56,Dutch1
Lotta Engberg,12,Boogaloo,1987,Sweden,50,Swedish
Umberto Tozzi & Raf,3,Gente di mare,1987,Italy,103,Italian
Nevada,18,Neste barco à vela,1987,Portugal,15,Portuguese
Patricia Kraus,19,No estás solo,1987,Spain,10,Spanish
Seyyal Taner & Lokomotif,22,Şarkım Sevgi Üstüne,1987,Turkey,0,Turkish
Bang,10,Stop (Στοπ),1987,Greece,64,Greek
Marcha,5,Rechtop in de wind,1987,Netherlands,83,Dutch
Plastic Bertrand,21,"Amour, amour",1987,Luxembourg,4,French
Rikki,13,Only the Light,1987,United Kingdom,47,English
Christine Minier,14,Les mots d'amour n'ont pas de dimanche,1987,France,44,French
Wind,2,Lass die Sonne in dein Herz,1987,Germany,141,German
Alexia,7,Aspro-mavro (Άσπρο-μαύρο),1987,Cyprus,80,Greek
Vicky Rosti & Boulevard,15,Sata salamaa,1987,Finland,32,Finnish
Anne-Cathrine Herdorf & Bandjo,5,En lille melodi,1987,Denmark,83,Danish
Johnny Logan,1,Hold Me Now,1987,Ireland,172,English
Novi fosili,4,Ja sam za ples,1987,Yugoslavia,92,Croatian
Carol Rich,17,"Moitié, moitié",1987,Switzerland,26,French
Anna Oxa & Fausto Leali,9,Avrei voluto,1989,Italy,56,Italian
Gili Netanel & Galit Burg-Michael,12,Derekh Hamelekh (דרך המלך),1989,Israel,50,Hebrew
Kiev Connolly & The Missing Passengers,18,The Real Me,1989,Ireland,21,English
Justine Pelmelay,15,Blijf zoals je bent,1989,Netherlands,45,Dutch
Pan,21,Bana Bana,1989,Turkey,5,Turkish
Ingeborg,19,Door de wind,1989,Belgium,13,Dutch
Live Report,2,Why Do I Always Get it Wrong?,1989,United Kingdom,130,English
Britt Synnøve Johansen,17,Venners nærhet,1989,Norway,30,Norwegian
Da Vinci,16,Conquistador,1989,Portugal,39,Portuguese
Tommy Nilsson,4,En dag,1989,Sweden,110,Swedish
Park Café,20,Monsieur,1989,Luxembourg,8,French
Birthe Kjær,3,Vi maler byen rød,1989,Denmark,111,Danish
Thomas Forstner,5,Nur ein Lied,1989,Austria,97,German
Anneli Saaristo,7,La dolce vita,1989,Finland,76,Finnish
Nathalie Pâque,8,J'ai volé la vie,1989,France,60,French
Nina,6,Nacida para amar,1989,Spain,88,Spanish
Fani Polymeri & Yiannis Savvidakis,11,Apopse as vrethume (Απόψε ας βρεθούμε),1989,Cyprus,51,Greek
Furbaz,13,Viver senza tei,1989,Switzerland,47,Romansh
Marianna Efstratiou,9,To diko sou asteri (Το δικό σου αστέρι),1989,Greece,56,Greek
Daníel Ágúst Haraldsson,22,Það sem enginn sér,1989,Iceland,0,Icelandic
Nino de Angelo,14,Flieger,1989,Germany,46,German
Riva,1,Rock Me,1989,Yugoslavia,137,Serbo-Croatian
Azúcar Moreno,5,Bandido,1990,Spain,96,Spanish
Christos Callow & Wave,19,Horis skopo (Χωρίς σκοπό),1990,Greece,11,Greek
Philippe Lafontaine,12,Macédomienne,1990,Belgium,46,French
Kayahan,17,Gözlerinin Hapsindeyim,1990,Turkey,21,Turkish
Maywood,15,Ik wil alles met je delen,1990,Netherlands,25,Dutch
Céline Carzo,13,Quand je te rêve,1990,Luxembourg,38,French
Emma,6,Give a Little Love Back to the World,1990,United Kingdom,87,English
Stjórnin,4,Eitt lag enn,1990,Iceland,124,Icelandic
Ketil Stokkan,21,Brandenburger Tor,1990,Norway,8,Norwegian
Rita,18,Shara Barkhovot (שרה ברחובות),1990,Israel,16,Hebrew
Lonnie Devantier,8,Hallo Hallo,1990,Denmark,64,Danish
Egon Egemann,11,Musik klingt in die Welt hinaus,1990,Switzerland,51,German
Chris Kempers & Daniel Kovac,9,Frei zu leben,1990,Germany,60,German
Joëlle Ursull,2,White and Black Blues,1990,France,132,French
Tajči,7,Hajde da ludujemo,1990,Yugoslavia,81,Croatian
Nucha,20,Há sempre alguém,1990,Portugal,9,Portuguese
Liam Reilly,2,Somewhere in Europe,1990,Ireland,132,English
Edin-Ådahl,16,Som en vind,1990,Sweden,24,Swedish
Toto Cutugno,1,Insieme: 1992,1990,Italy,149,Italian
Simone,10,Keine Mauern mehr,1990,Austria,58,German1
Haris Anastasiou,14,Milas poli (Μιλάς πολύ),1990,Cyprus,36,Greek
Beat,21,Fri?,1990,Finland,8,Swedish
Baby Doll,21,Brazil (Бразил),1991,Yugoslavia,1,Serbian
Stefán & Eyfi,15,Draumur um Nínu,1991,Iceland,26,Icelandic
Georgina & Paul Giordimaina,6,Could It Be,1991,Malta,106,English
Sophia Vossou,13,I anixi (Η άνοιξη),1991,Greece,36,Greek
Sandra Simó,5,Canzone per te,1991,Switzerland,118,Italian
Thomas Forstner,22,Venedig im Regen,1991,Austria,0,German
Sarah Bray,14,Un baiser volé,1991,Luxembourg,29,French
Carola,1,Fångad av en stormvind,1991,Sweden,146,Swedish
Amina,2,C'est le dernier qui a parlé qui a raison,1991,France,146,French
"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",12,İki Dakika,1991,Turkey,44,Turkish
Kim Jackson,10,Could It Be That I'm In Love,1991,Ireland,47,English
Dulce Pontes,8,Lusitana paixão,1991,Portugal,62,Portuguese
Anders Frandsen,19,Lige der hvor hjertet slår,1991,Denmark,8,Danish
Just 4 Fun,17,Mrs. Thompson,1991,Norway,14,Norwegian
Duo Datz,3,Kan (כאן),1991,Israel,139,Hebrew
Kaija Kärkinen,20,Hullu yö,1991,Finland,6,Finnish
Atlantis 2000,18,Dieser Traum darf niemals sterben,1991,Germany,10,German
Clouseau,16,Geef het op,1991,Belgium,23,Dutch
Sergio Dalma,4,Bailar pegados,1991,Spain,119,Spanish
Samantha Janus,10,A Message to Your Heart,1991,United Kingdom,47,English
Elena Patroklou,9,SOS,1991,Cyprus,60,Greek
Peppino di Capri,7,Comme è ddoce 'o mare,1991,Italy,89,Neapolitan
Serafín,14,Todo esto es la música,1992,Spain,37,Spanish
Morgane,20,"Nous, on veut des violons",1992,Belgium,11,French
Dafna Dekel,6,Ze Rak Sport (זה רק ספורט),1992,Israel,85,Hebrew
Aylin Vatankoş,19,Yaz Bitti,1992,Turkey,17,Turkish
Cleopatra,5,Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),1992,Greece,94,Greek
Kali,8,Monté la riviè,1992,France,73,"French, Antillean Creole"
Christer Björkman,22,I morgon är en annan dag,1992,Sweden,9,Swedish
Dina,17,Amor d'água fresca,1992,Portugal,26,Portuguese
Evridiki,11,Teriazoume (Ταιριάζουμε),1992,Cyprus,57,Greek
Mary Spiteri,3,Little Child,1992,Malta,123,English
Heart 2 Heart,7,Nei eða já,1992,Iceland,80,Icelandic
Pave Maijanen,23,"Yamma, yamma",1992,Finland,4,Finnish
Daisy Auvray,15,Mister Music Man,1992,Switzerland,32,French
Marion Welter & Kontinent,21,Sou fräi,1992,Luxembourg,10,Luxembourgish
Tony Wegas,10,Zusammen geh'n,1992,Austria,63,German
Michael Ball,2,One Step Out of Time,1992,United Kingdom,139,English
Linda Martin,1,Why Me?,1992,Ireland,155,English
Kenny Lübcke & Lotte Nilsson,12,Alt det som ingen ser,1992,Denmark,47,Danish
Mia Martini,4,Rapsodia,1992,Italy,111,Italian
Extra Nena,13,Ljubim te pesmama (Љубим те песмама),1992,Yugoslavia,44,Serbian
Merethe Trøan,18,Visjoner,1992,Norway,23,Norwegian
Wind,16,Träume sind für alle da,1992,Germany,27,German
Humphrey Campbell,9,Wijs me de weg,1992,Netherlands,67,Dutch
Enrico Ruggeri,12,Sole d'Europa,1993,Italy,45,Italian
Burak Aydos,21,Esmer Yarim,1993,Turkey,10,Turkish
Münchener Freiheit,18,Viel zu weit,1993,Germany,18,German
Annie Cotton,3,"Moi, tout simplement",1993,Switzerland,148,French
Tommy Seebach Band,22,Under stjernerne på himlen,1993,Denmark,9,Danish
Katerina Garbi,9,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",1993,Greece,64,Greek
Barbara Dex,25,Iemand als jij,1993,Belgium,3,Dutch
William Mangion,8,This Time,1993,Malta,69,English
Inga,13,Þá veistu svarið,1993,Iceland,42,Icelandic
Tony Wegas,14,Maria Magdalena,1993,Austria,32,German
Anabela,10,A cidade (até ser dia),1993,Portugal,60,Portuguese
Patrick Fiori,4,Mama Corsica,1993,France,121,"French, Corsican"
Arvingarna,7,Eloise,1993,Sweden,89,Swedish
Niamh Kavanagh,1,In Your Eyes,1993,Ireland,187,English
Modern Times,20,Donne-moi une chance,1993,Luxembourg,11,"French, Luxembourgish"
1X Band,22,Tih deževen dan,1993,Slovenia,9,Slovene
Katri Helena,17,Tule luo,1993,Finland,20,Finnish
Fazla,16,Sva bol svijeta,1993,Bosnia and Herzegovina,27,Bosnian
Sonia,2,Better the Devil You Know,1993,United Kingdom,164,English
Ruth Jacott,6,Vrede,1993,Netherlands,92,Dutch
Put,15,Don't Ever Cry,1993,Croatia,31,"Croatian, English"
Eva Santamaría,11,Hombres,1993,Spain,58,Spanish
Zimboulakis & Van Beke,19,Mi stamatas (Μη σταματάς),1993,Cyprus,17,Greek
Lahakat Shiru,24,Shiru (שירו),1993,Israel,4,"Hebrew, English"
Silje Vige,5,Alle mine tankar,1993,Norway,120,Norwegian
Marie Bergman & Roger Pontare,13,Stjärnorna,1994,Sweden,48,Swedish
CatCat,22,Bye Bye Baby,1994,Finland,11,"Finnish, English"
Paul Harrington & Charlie McGettigan,1,Rock 'n' Roll Kids,1994,Ireland,226,English
Evridiki,11,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),1994,Cyprus,51,Greek
Sigga,12,Nætur,1994,Iceland,49,Icelandic
Frances Ruffelle,10,We Will Be Free (Lonely Symphony),1994,United Kingdom,63,English
Tony Cetinski,16,Nek' ti bude ljubav sva,1994,Croatia,27,Croatian
Sara Tavares,8,Chamar a música,1994,Portugal,73,Portuguese
Duilio,19,Sto pregando,1994,Switzerland,15,Italian
Silvi Vrait,24,Nagu merelaine,1994,Estonia,2,Estonian
Dan Bittman,21,Dincolo de nori,1994,Romania,14,Romanian
Chris and Moira,5,More than Love,1994,Malta,97,English
Willeke Alberti,23,Waar is de zon,1994,Netherlands,4,Dutch
MeKaDo,3,Wir geben 'ne Party,1994,Germany,128,German1
Tublatanka,19,Nekonečná pieseň,1994,Slovakia,15,Slovak
Ovidijus Vyšniauskas,25,Lopšinė mylimai,1994,Lithuania,0,Lithuanian
Elisabeth Andreassen & Jan Werner Danielsen,6,Duett,1994,Norway,76,Norwegian
Alma & Dejan,15,Ostani kraj mene,1994,Bosnia and Herzegovina,39,Bosnian
Kostas Bigalis & The Sea Lovers,14,To trehandiri (Το τρεχαντήρι),1994,Greece,44,Greek
Petra Frey,17,Für den Frieden der Welt,1994,Austria,19,German
Alejandro Abad,18,Ella no es ella,1994,Spain,17,Spanish
Friderika Bayer,4,Kinek mondjam el vétkeimet?,1994,Hungary,122,Hungarian
Youddiph,9,Vechny strannik (Вечный странник),1994,Russia,70,Russian
Edyta Górniak,2,To nie ja!,1994,Poland,166,Polish
Nina Morato,7,Je suis un vrai garçon,1994,France,74,French
Justyna,18,Sama,1995,Poland,15,Polish
Eddie Friel,14,Dreamin',1995,Ireland,44,English
Stone & Stone,23,Verliebt in Dich,1995,Germany,1,German
Davorin Popović,19,Dvadeset prvi vijek,1995,Bosnia and Herzegovina,14,Bosnian
Secret Garden[a],1,Nocturne,1995,Norway,148,Norwegian
Philipp Kirkorov,17,Kolybelnaya dlya vulkana (Колыбельная для вулкана),1995,Russia,17,Russian
Bo Halldórsson,15,Núna,1995,Iceland,31,Icelandic
Stella Jones,13,Die Welt dreht sich verkehrt,1995,Austria,67,German
Anabel Conde,2,Vuelve conmigo,1995,Spain,119,Spanish
Arzu Ece,16,Sev,1995,Turkey,21,Turkish
Magazin & Lidija,6,Nostalgija,1995,Croatia,91,Croatian
Nathalie Santamaria,4,Il me donne rendez-vous,1995,France,94,French
Csaba Szigeti,22,Új név a régi ház falán,1995,Hungary,3,Hungarian
Frédéric Etherlinck,20,La voix est libre,1995,Belgium,8,French
Love City Groove,10,Love City Groove,1995,United Kingdom,76,English
Tó Cruz,21,Baunilha e chocolate,1995,Portugal,5,Portuguese
Alexandros Panayi,9,Sti fotia (Στη φωτιά),1995,Cyprus,79,Greek
Jan Johansen,3,Se på mig,1995,Sweden,100,Swedish
Aud Wilken,5,Fra Mols til Skagen,1995,Denmark,92,Danish
Darja Švajger,7,Prisluhni mi,1995,Slovenia,84,Slovene
Liora,8,Amen (אמן),1995,Israel,81,Hebrew
Mike Spiteri,10,Keep Me In Mind,1995,Malta,76,English
Elina Konstantopoulou,12,Pia prosefhi (Ποια προσευχή),1995,Greece,68,Greek
George Nussbaumer,6,Weil's dr guat got,1996,Austria,80,Vorarlbergish
Lisa del Bo,12,Liefde is een kaartspel,1996,Belgium,45,Dutch
Amila Glamočak,21,Za našu ljubav,1996,Bosnia and Herzegovina,29,Bosnian
Maja Blagdan,19,Sveta ljubav,1996,Croatia,30,Croatian
Constantinos,15,Mono gia mas (Μόνο για μας),1996,Cyprus,42,Greek
Dorthe Andersen & Martin Loft,25,Kun med dig,1996,Denmark,22,Danish
Maarja-Liis Ilus & Ivo Linna,5,Kaelakee hääl,1996,Estonia,106,Estonian
Jasmine,22,Niin kaunis on taivas,1996,Finland,26,Finnish
Dan Ar Braz & l'Héritage des Celtes,11,Diwanit Bugale,1996,France,55,Breton
Kaliopi,26,Samo ti (Само ти),1996,Macedonia,14,Macedonian
Leon,24,Planet of Blue,1996,Germany,24,German
Marianna Efstratiou,12,"Emis forame to himona anixiatika
(Εμείς φοράμε το χειμώνα ανοιξιάτικα)",1996,Greece,45,Greek
Gjon Delhusa,23,Fortuna,1996,Hungary,26,Hungarian
Anna Mjöll,10,Sjúbídú,1996,Iceland,59,Icelandic
Eimear Quinn,2,The Voice,1996,Ireland,198,English
Galit Bell,28,Shalom Olam (שלום עולם),1996,Israel,12,Hebrew
Miriam Christine,4,In a Woman's Heart,1996,Malta,138,English
Maxine & Franklin Brown,9,De eerste keer,1996,Netherlands,63,Dutch
Kasia Kowalska,15,Chcę znać swój grzech...,1996,Poland,42,Polish
Lúcia Moniz,18,O meu coração não tem cor,1996,Portugal,32,Portuguese
Monica Anghel & Sincron,29,Rugă pentru pacea lumii,1996,Romania,11,Romanian
Andrey Kosinskiy,26,Ya eto ya (Я это я),1996,Russia,14,Russian
Marcel Palonder,17,Kým nás máš,1996,Slovakia,38,Slovak
Regina,19,Dan najlepših sanj,1996,Slovenia,30,Slovene
Antonio Carbonell,14,"¡Ay, qué deseo!",1996,Spain,43,Spanish
One More Time,1,Den vilda,1996,Sweden,227,Swedish
Kathy Leander,8,Mon cœur l'aime,1996,Switzerland,67,French
Şebnem Paker,7,Beşinci Mevsim,1996,Turkey,69,Turkish
Gina G,3,Ooh Aah... Just a Little Bit,1996,United Kingdom,153,English
Hara & Andreas Konstantinou,5,Mana mou (Μάνα μου),1997,Cyprus,98,Greek
Şebnem Paker & Grup Ethnic,3,Dinle,1997,Turkey,121,Turkish
Tor Endresen,24,San Francisco,1997,Norway,0,Norwegian1
Bettina Soriat,21,One Step,1997,Austria,12,German1
Marc Roberts,2,Mysterious Woman,1997,Ireland,157,English
Tanja Ribič,10,Zbudi se,1997,Slovenia,60,Slovene
Barbara Berta,22,Dentro di me,1997,Switzerland,5,Italian
Mrs. Einstein,22,Niemand heeft nog tijd,1997,Netherlands,5,Dutch
Jalisse,4,Fiumi di parole,1997,Italy,114,Italian
Marcos Llunas,6,Sin rencor,1997,Spain,96,Spanish
Bianca Shomburg,18,Zeit,1997,Germany,22,German
Anna Maria Jopek,11,Ale jestem,1997,Poland,54,Polish
Maarja-Liis Ilus,8,Keelatud maa,1997,Estonia,82,Estonian
Alma Čardžić,18,Goodbye,1997,Bosnia and Herzegovina,22,Bosnian
Célia Lawson,24,Antes do adeus,1997,Portugal,0,Portuguese
Blond,14,Bara hon älskar mig,1997,Sweden,36,Swedish
Marianna Zorba,12,Horepse (Χόρεψε),1997,Greece,39,Greek
Debbie Scerri,9,Let Me Fly,1997,Malta,66,English
V.I.P.,12,"Miért kell, hogy elmenj?",1997,Hungary,39,Hungarian
Alla Pugacheva,15,Primadonna (Примадонна),1997,Russia,33,Russian
Kølig Kaj,16,Stemmen i mit liv,1997,Denmark,25,Danish
Fanny,7,Sentiments songes,1997,France,95,French
E.N.I.,17,Probudi me,1997,Croatia,24,Croatian
Katrina and the Waves,1,Love Shine a Light,1997,United Kingdom,227,English
Paul Oscar,20,Minn hinsti dans,1997,Iceland,18,Icelandic
Danijela,5,Neka mi ne svane,1998,Croatia,131,Croatian
Thalassa,20,Mia Krifi Evesthisia (Μια κρυφή ευαισθησία),1998,Greece,12,Greek
Marie Line,24,Où aller,1998,France,3,French
Mikel Herzog,16,¿Qué voy a hacer sin ti?,1998,Spain,21,Spanish
Gunvor,25,Lass ihn,1998,Switzerland,0,German
Katarína Hasprová,21,Modlitba,1998,Slovakia,8,Slovak
Sixteen,17,To takie proste,1998,Poland,19,Polish
Dana International,1,Diva (דיווה),1998,Israel,172[N 1],Hebrew
Guildo Horn,7,Guildo hat euch lieb!,1998,Germany,86,German
Chiara,3,The One That I Love,1998,Malta,165,English
Charlie,23,A holnap már nem lesz szomorú,1998,Hungary,4,Hungarian
Vili Resnik,18,Naj bogovi slišijo,1998,Slovenia,17,Slovene
Dawn Martin,9,Is Always Over Now?,1998,Ireland,64,English
Alma Lusa,12,Se eu te pudesse abraçar,1998,Portugal,36,Portuguese
Mălina Olinescu,22,Eu cred,1998,Romania,6,Romanian
Imaani,2,Where Are You?,1998,United Kingdom,166,English
Michael Hajiyanni,11,Genesis (Γένεσις),1998,Cyprus,37,Greek
Edsilia,4,Hemel en aarde,1998,Netherlands,151,Dutch
Jill Johnson,10,Kärleken är,1998,Sweden,53,Swedish
Mélanie Cohl,6,Dis oui,1998,Belgium,122,French
Edea,15,Aava,1998,Finland,22,Finnish
Lars Fredriksen,8,Alltid sommer,1998,Norway,79,Norwegian
Koit Toome,12,Mere lapsed,1998,Estonia,36,Estonian
Tüzmen,14,Unutamazsın,1998,Turkey,25,Turkish
Vlado Janevski,19,"Ne zori, zoro (Не зори, зоро)",1998,Macedonia,16,Macedonian
Aistė,20,Strazdas,1999,Lithuania,13,Samogitian
Vanessa Chinitor,12,Like the Wind,1999,Belgium,38,English
Lydia,23,No quiero escuchar,1999,Spain,1,Spanish
Doris Dragović,4,Marija Magdalena,1999,Croatia,118,Croatian
Precious,12,Say It Again,1999,United Kingdom,38,English
Darja Švajger,11,For a Thousand Years,1999,Slovenia,50,English
Tuğba Önal & Grup Mistik,16,Dön Artık,1999,Turkey,21,Turkish
Stig Van Eijk,14,Living My Life Without You,1999,Norway,35,English
Trine Jepsen & Michael Teschl,8,This Time I Mean It,1999,Denmark,71,English
Nayah,19,Je veux donner ma voix,1999,France,14,French
Marlayne,8,One Good Reason,1999,Netherlands,71,English
Mietek Szcześniak,18,Przytul mnie mocno,1999,Poland,17,Polish
Selma,2,All Out of Luck,1999,Iceland,146,English
Marlain,22,Tha'nai Erotas (Θα'ναι έρωτας),1999,Cyprus,2,Greek
Charlotte Nilsson,1,Take Me to Your Heaven,1999,Sweden,163,English
Rui Bandeira,21,Como tudo começou,1999,Portugal,12,Portuguese
The Mullans,17,When You Need Me,1999,Ireland,18,English
Bobbie Singer,10,Reflection,1999,Austria,65,English
Eden,5,Yom Huledet (Happy Birthday) (יום הולדת),1999,Israel,93,"English, Hebrew"
Times Three,15,Believe 'n Peace,1999,Malta,32,English
